Content,Reactions,Comments,Reposts,Poster,Location
"A fierce wind-driven wildfire is nearing the city of Yellowknife, the capital of Canada's Northwestern Territories. The fire prompted evacuation orders and even airlift plans for thousands of people.",21.0,1 comment,1 comment,KPAX-TV,
My heartfelt sympathies are extended to the Yellowknife community in the midst of the devastating wildfire. My thoughts and prayers are with all those affected during this challenging time.- Images @download from Google,5.0,,,Vandan Patel,
"Here's tonights... wildfire news... Did you know that Canada is having to evaluate over 20,000 people from the town of Yellowknife...",1.0,1 comment,1 comment,Ted Hooper,
"Facebook seems to have made a ""I'm safe"" status button for those specifically experiencing the Yellowknife wildfire evacuation.",2.0,5 comments,5 comments,NWT Wildfires Safety Check,
"UPDATE: Yellowknife, N’Dilo, Behchokǫ̀, Dettah, Ingraham Trail Fires (ZF011, ZF012, ZF015, ZF085) – August 12, 8pm: These fires remain out-of-control. Check the link for a detailed update. ConditionsA couple of extremely challenging days ahead. With extremely high westerly to southwesterly winds tomorrow – 35-40km/h gusting up to 60 – will put pressure on our lines and cause extreme fire behaviour and likely significant fire growth. … See more",12.0,1 comment,1 comment,NWT Fire,
"Due to the wildfire situation and to Section 17 of the Emergency Management Act including the State of Emergency from the Premier, the City of Yellowknife is under an Evacuation Order effective no later than August 18, 2023 at noon.  In light of this news, the Chateau Nova Yellowknife and Nova Inn Yellowknife will not take any new reservations and will be cancelling all reservations outside of essential services until it is safe to welcome people back. We are working hard t… See more",5.0,,,Nova Hotels,
"WILDFIRE UPDATEInformation BulletinYellowknife, N’Dilo, Behchokǫ̀, Dettah, Ingraham Trail Fires (ZF011, ZF012, ZF015, ZF085) – August 10, 11:15amGet the full guide to FireSmarting your place: https://www.gov.nt.ca/.../homes-cabins-camps-and-businesses … See more",2.0,,,YKDFN,
"Yellowknifers focus on these words below... ""Yellowknife and Behchoko are safe"". Support those who will be evacuating.",3.0,,,"Ben Hendriksen, Yellowknife City Councillor",
"CABIN/HOME OWNERS/USERS - KM 276-290 ON HIGHWAY 3: After reconnaissance flights, we are advising those who are in the area to LEAVE YOUR PROPERTIES IMMEDIATELY … See more",,,,NWT Fire,
"Northwest Canada's Yellowknife battles against wildfire's relentless march with city's urgent exodus weaving tapestry of desperation, hope against fiery canvas that defies nature's boundshttps://www.dailysabah.com/.../frantic-exodus-rages-as...",17.0,1 comment,1 comment,DAILY SABAH,
"CRITICAL UPDATE – BEHCHOKO/YELLOWKNIFE WILDIFRE (ZF015) – JULY 25, 8:30PMAfter taking an extraordinary run driven by winds reaching up to 50km/h, the wildfire has breached the Behchoko Access Road at Frank Channel. This puts the fire in extremely close proximity to Behchoko - roughly 5km east of Edzo and 7km southeast of Rae. As the fire continues to be driven by these extreme winds, it is highly likely to reach the community overnight. … See more",343.0,42 comments,42 comments,NWT Fire,
"Due to the quickly evolving wildfire situation impacting Northwest Territories, Yellowknife Motors is closed until further notice. Aaron Wall, our General Manager, can be reached at aaron@ykmotors.com in the event of an emergency.We want to thank our valued customers and our beloved N.W.T. communities and ask that you follow public guidelines to stay safe during this unprecedented situation.https://www.gov.nt.ca/en/public-safety… See more",5.0,,,Yellowknife Motors,
"Yellowknife, which was recently evacuated due to the threat of wildfires, has become overrun with black bears that have moved into the empty streets in search of food.",32.0,1 comment,1 comment,LiveScience,
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 15, 11am: Critical points below. Full update at www.nwtfire.com . Behchoko/Yellowknife Fire (ZF015)Distance from landmarks (closest point)… See more",56.0,23 comments,23 comments,NWT Fire,
"If you’re in Alberta, see below link for evacuation sites and registrations.",1.0,,,Yellowknife current events,
"All 20,000 Yellowknife residents evacuating, Other evacuations in Kelowna, Tenerife, Why wildfires in the Northwest Territories are so powerful, Why no water to fight the fire in Maui? Hurricane Hilary to threaten California, East Palestine residents suffer seizures, Someone's cooking the covid books, Dengue reported in Florida, Microplastics found In human hearts, Mortgage rates highest in decades, and more... in The Collapse Chronicle!",8.0,2 comments,2 comments,The Collapse Chronicle,
"We fight the fire like warriors, just like we did many years ago - man power. with piss bags behind our backLOL",1.0,,,Doug Dillon,
"It's been a week since many of us started to leave Yellowknife, Northwest Territories and even longer for others in surrounding communities.  As the wildfire situation continues to evolve, we want to thank those who are on the front lines of this relentless battle - you are heroes.Our thoughts are with all of those who are impacted, and we urge you to stay informed and continue to follow public safety guidelines. https://www.gov.nt.ca/ecc/en/services/wildfire-update… See more",2.0,,,Yellowknife Motors,
more arson fires~ wild fires my ass~,3.0,3 comments,3 comments,Gayle Pulak,
"Global's Jayme Doll captured this footage showing the destruction caused by wildfire while leaving Yellowknife, N.W.T.",4.0,,,Global Calgary,
Wildfire Defense Map#yellowknife #nwt #WeStrong,,6 comments,6 comments,Sad Richard Ilagan,Alexandra Marks-Ilagan
Rochdi’s Independent will be open from 4pm-8pm daily to help support the wildfire situation in Yellowknife:Please note that we are working with minimal staffi… See more,,,,Your Independent Grocer - 250 Old Airport Road (Rochdi's Your Independent Grocer),
Residents of Yellowknife and two neighbouring First Nation communities ordered to evacuate because of an approaching wildfire were met with sticker shock when trying to book a flight with Air Canada.,1.0,,,The Edmonton Sun,
Thousands of residents of the town of Yellowknife are getting out of the way as wildfires close in.,10.0,,,KRCG 13,
"In the wake of an unprecedented wildfire season affecting communities in Canada’s North, PetSmart Charities of Canada’s Disaster Response fund has announced $95,000 in aid in partnership with Veterinarians without Borders and NWT SPCA to provide rescue, relief, and recovery efforts of impacted pets and the people who love them.#yellowknifewildfire #animalrescue #NewsRelease #disasterrecovery",7.0,,,Veterinarians without Borders,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories Wildfire Update at 4 p.m. today, Thursday, August 31, 2023.Watch the update on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",6.0,,,City of Yellowknife,
Hoping for the best for our two chapters way up north! A wildfire is threatening Yellowknife and Hay River.,,,,Mediocre Golf Association,
https://www.cbc.ca/.../n-w-t-fire-issues-wildfire-warning...,1.0,,,Tlicho,
"While all our eyes are on Maui, we should not forget our neighbors to the north. They are evacuating the capital of the Northern Territories, Yellowknife...""Yellowknife residents drove to safety under orange skies, as fires burned all around them. Some evacuees reported that their cars began melting during the ordeal.""",20.0,4 comments,4 comments,David Bozak,
"WILDFIRE EVACUATION ASSISTANCEThe Northwest Territory Métis Nation has received approval from the three Métis local governments (Fort Resolution Métis Government, Fort Smith Métis Council, Hay River Métis Government Council) to issue a $300 payment to each evacuee that meets the following criteria:- Must have been residing in one of the following evacuated communities: Enterprise, Fort Smith, Hay River, and Yellowknife.… See more",25.0,22 comments,22 comments,Northwest Territory Métis Nation,
"A fierce wind-driven wildfire on Thursday prompted evacuations in the city of Yellowknife, the capital of Canada's Nortwestern Territories.",6.0,,,Scripps News,
"Second time in my life I'm being evacuated because of a wildfire ...Red Lake, May 1980Yellowknife, August 2023",19.0,14 comments,14 comments,Roy Dahl,
Yellowknife residents rushed to beat a noon Friday deadline to evacuate.,12.0,5 comments,5 comments,Press Democrat,
"Ho, Ho, Ho, Santa Claus is coming to town on Saturday, November 25, from 5:00 p.m. to 7:00 p.m. and the parade route is now available! This year’s theme, “Yellowknife Strong,” highlights the perseverance of our community and the dedication of first responders, essential staff, and volunteers during this past wildfire season. Come spread cheer and show your support for the community!",24.0,,,City of Yellowknife,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Monday, August 21, 2023.Those looking to watch this can access it from our website here: https://www.yellowknife.ca/.../city-government-webcast....Previous recordings can be found under the ""Wildfire Updates"" tab.",5.0,3 comments,3 comments,City of Yellowknife,
Wildfire threat to Yellowknife deemed serious as parts of city on evacuation alert,7.0,,,Climate Alert,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Monday, August 28, 2023.Watch the update on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",16.0,,,City of Yellowknife,
"An official deadline to evacuate Yellowknife as a wildfire looms on its outskirts has lapsed, as residents scramble to leave by air and road.",1.0,,,The Center for Circumpolar Studies,
Pickups with skid units deployed to fight Yellowknife (NT) wildfireVideo credit: GlobalMedic (@globalmedicdmgf).#news; #inservice; #ideas,5.0,,,Canadian Fire and EMS,
One road out: Evacuating Yellowknife before the wildfire hits,2.0,1 comment,1 comment,Brigid Fude,
Yellowknife school boards say it's unlikely students will return to classes as scheduled on Aug. 28 given the current wildfire situation and evacuation. | CBC News,78.0,,,CBC,
Yellowknife residents were given a noon deadline to leave the city as the fire grew six times larger overnight,3.0,,,FireRescue1,
"Yellowknife residents waited overnight for evacuation flights set to resume on Friday and lines of cars left the territorial capital, heeding warnings from Canadian officials to flee a relentless wildfire.",16.0,,,Capital Weather Gang,
"A wildfire was moving closer the capital of Canada's Northwest Territories Friday as residents fled, rushing to beat a noon deadline to evacuate the city of 20,000.",4.0,,,WJZ-TV | CBS Baltimore,
AllPrayers to the people and animals of Yellowknife  an entire city taking flight from yet another FUCKING WILDFIRE#climatehell,4.0,,,Shannon McMurchy,
"Residents are heeding warnings to evacuate the capital of Canada's Northwest Territories as a wildfire burns toward the city of 20,000.",29.0,3 comments,3 comments,ABC 7 Chicago,
"The blaze is located approximately 20km northwest of Yellowknife, less than a kilometre from highway marker 316.",8.0,,,100.1 True North FM,
"Updates from Yellowknife.Story  Residents flee, airlifts begin as wildfire approaches capital of Canada's Northwest Territorieshttps://bit.ly/3YIiHeK… See more",1.0,,,Colt Sebastian Taylor,
A plume of Alberta wildfire smoke arriving in Yellowknife NWT.,56.0,6 comments,6 comments,Michael Nabert,
"As a result of the current conditions, NWT Fire says the fire may grow significantly (between 5-10km) to the south and east towards Yellowknife.",7.0,1 comment,1 comment,100.1 True North FM,
"ANOTHER MAJOR WILDFIRE EVACUATION ORDER ANNOUNCED#Yellowknife #NWT #Northwestterritories #Canada #Canadian #Historic #Fires #Fire #NWTFire #Canadafire #CanadianFires #Firealert #emergencyalert #Yukon #BritishColumbia #Alberta #Saskatchewan #Manitoba #Ontario #quebec #Newfoundland #Novascotia #Princeedwardisland #Nunavut #Yukon #NewBrunswick Yellowknife, Northwest Territories Yellowknife Yellowknife Airport Yellowknife Online Northwest Territories Tourism Northwest Territori… See more",3.0,,,James Cousineau,ProPics Canada Media Ltd.
"Wildfires Burning Out of Control Widen Canada EvacuationsAs residents of Yellowknife fled a wildfire in the Northwest Territories, a state of emergency was issued hundreds of miles away in Kelowna, British Columbia. Kelowna fire chief: ‘We fought 100 years worth of fires’",28.0,,,M-Cee Saint-p,
"N.W.T. wildfire evacuees say Facebook's news ban 'dangerous' in emergency situation...Meta notes government sources not blocked as northerners duck ban by sharing screenshots of information...Evacuees from the devastating blazes threatening Yellowknife say the ongoing fight between Meta, the owner of Facebook, and Canada's federal government over who should pay for news has made it harder to spread life-saving information about the wildfires in the Northwest Territories. De… See more",5.0,2 comments,2 comments,Anonymous Canada,
Arson!...Arson!...Arson!These crimes should be treated as Mass Murder for fatalities which it often results in!,20.0,5 comments,5 comments,Ken Finlayson,
are you able to read this??The Yellowknife RCMP said on Friday an overnight fire in the NWT is believed to be deliberately set in an area hard to access by fir… See more,,,,,
"Still in disbelief that again last night we have to leave our homes in Hay River due to wildfire.Thanks be to God we arrive safe in Yellowknife.  Thanks to pareng Cleo, Christine, Ayla and family for always allowing us to stay at your lovely abode everytime we need a place..keep safe everyone. God bless us all",43.0,15 comments,15 comments,Don Ruga Sabaldica,Cleo Evangelista
"As it happened: All of Yellowknife told to evacuateYellowknife’s 20,000-plus residents were ordered to leave as a wildfire bears down from the west – a stunning development that officials had dismissed for months.With the blaze threatening to reach the city in the coming days, firefighters have battled to ward off flames that have advanced to nearly 10 miles from Yellowknife, officials said.… See more",1.0,,,Toronto Area Newcomers Meetup Group,
"Deh Cho MLA Ron Bonnetrouge is calling for a thorough investigation into the handling of the recent devastating wildfire that ravaged Enterprise earlier this month, as reported by NNSL News Media.It is imperative for the entire public to unite in urging the Standing Committee on Government Operations to initiate an impartial post-disaster review conducted by a third-party entity. This review must be transparent and accessible to all, forming an essential component of our dem… See more",45.0,7 comments,7 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
Waking up to the news that the entire city of Yellowknife in Canada’s Northwest Territories has been asked to evacuate by Friday. Canada’s unprecedented wildfire season is still growing— burning more than 600% of average acreage to date. #wildfire #canada #yellowknife,810.0,181 comments,181 comments,Ginger Zee,
Remeber to follow NWT Fire to stay up to date on the status of critical fires across the NWT and specifically around #Yellowknife.,,,,"Ben Hendriksen, Yellowknife City Councillor",
"Thinking of Yellowknife and everyone in the Northwest Territories impacted by wildfire evacuations today. For those who haven’t seen the news, the ENTIRE city of Yellowknife has been ordered to evacuate, along with many other towns across the NWT. Yellowknife and the NWT will always have a special place in our hearts. We hope that everyone is able to make it to safety and your lives can return to normal shortly. … See more",22.0,,,James Rice,Katie Rice
"Last week (Aug 17th) very early morning I had to evacuate and leave my beautiful market garden due to the raging wildfire approaching Yellowknife.  It has been some very challenging days since, knowing that I may loose many food plants and thereby an important part of my income. I am so in tune with my plants that I can “hear” when they need care such as watering! The Government has not (as of yet) offered any compensation for small businesses like mine. … See more",40.0,1 comment,1 comment,Northern Roots,
"We are heading home. I am very excited  Yellowknife, see you tomorrow! Thank you, Lord for keeping our house and community safe from the wildfire!… See more",7.0,,,Sofia Balaguer Vielhauer,
"It's a real pleasure to work with a gem like Ben Hendriksen, Yellowknife City Councillor.  Thanks for doing all you do man, and Yellowknifers take a look below at his posting marking 1 week since the evac order.",1.0,1 comment,1 comment,"Garett Cochrane, Yellowknife City Councillor",
"It has been a week since #Yellowknife needed to evacuate to ensure residents are safe from the ongoing wildfire threat.With that time between us, I want to pr… See more",,,,"Ben Hendriksen, Yellowknife City Councillor",
"A raging wildfire has displaced around 22,000 people in north-west Canada's Yellowknife.Meanwhile, the western British Columbia province has declared a state of emergency, as more than 4,000 people are under evacuation orders.",148.0,2 comments,2 comments,ABC News,
This morning we are back home safe and sound from being evacuated from Yellowknife. Last night they were getting some rain and had made a little headway on the wildfire. Let’s keep our fingers crossed they stay safe and continue to get some relief from Mother Nature so we can get back up there in the next few days. But in the meantime - muskox sausage and pancakes for breakfast with the crew !!! Aylmer Lake LodgeHuto Lifestyle,13.0,3 comments,3 comments,Antlerhill Outfitters,
"Thank you firefighters, soldiers, locals, domestic and international volunteers whos been doing extraordinary efforts for working around the clock to keep our family, relatives and friends safe due to this wildfire spreadout across NWT…May God give you more strength and be safe out there    #notallheroeswearcapes #maninuniform",17.0,2 comments,2 comments,Mahmen RmRz,
Members of the military arrive in Yellowknife. Photo: Sean FowlerMilitary backup arrived in the Northwest Territories as evacuees anxiously awaited news from … See more,,,,North Life,
"Dr. Michelle Tuma, our very dedicated Northern Canada Veterinary Specialist, shares an update on the animal and pet evacuation from communities around Yellowknife. A raging wildfire has forced residents in Behchoko to evacuate urgently, many are unable to take their animals with them. Dedicated volunteers have been working with VWB staff to drive many of these animals to safety, provide food and water and locate them into foster homes until they can be reunited with their… See more",18.0,,,Veterinarians without Borders,
"The night we decided to flee wildfire near Yellowknife, I was wracked with guilt about my job and grief for my garden.It’s hard to know what could have been - if I hadn’t abandoned my veggies for three weeks. A few things were definitely worse for wear when I returned home. But I think it’s been a pretty successful growing year, all things considered. I’ve got carrots, cucumbers, potatoes, zucchini, promising looking beets, boatloads of kale, a couple of peas, a handful o… See more",136.0,9 comments,9 comments,Liny Lamberink,
"WILDFIRE UPDATE: September 6, 2023: No new fires overnight.Crews in the Dehcho continue making good progress on cooling fires outside of Fort Liard and Jean Marie River. While making your way back to Yellowknife in the coming days, continue to monitor highway conditions here: https://www.dot.gov.nt.ca/Highways … See more",11.0,1 comment,1 comment,NWT Fire,
"CKLB Wildfire update, Aug. 28 7:00 p.m.: YK fire “being held” as GNWT rolls out five-part return planNo date has yet been set for re-entry.TOPICS:Wildfire… See more",9.0,2 comments,2 comments,Robbie Pascal,
"According to IQair.com, Yellowknife had the worst air quality in the country this morning, in second place? Behchokǫ̀.In light of this years unprecedented wildfires season Yellowknife city council unanimously voted in support of a motion to use emergency funding to help protect the city against wildfire risks on Tuesday. To learn more about what that looks like: https://www.cbc.ca/.../city-council-approves-funding-1...",23.0,,,CBC NWT,
One more thing:  the worst fire year on record and half of the population of the Northwest Territories had been displaced. Yellowknife have to be evacuated by today. Kelowna is burning.Here is the Friday am wildfire count and confirmed by satellites. 1.6 million hectares burned in 2022. This year we are at 13.4 million hectares. Season isn’t over yet!!  We are living in a very different reality than my childhood. Every Green Space will matter for us all.,18.0,19 comments,19 comments,Merri Aiken,
"Support Wildfire RecoveryOur hearts are heavy as the country burns. Community foundations are actively working to support their territorial communities that are affected by wildfires. In moments like these, we’ve seen how communities from coast to coast to coast can rally together and support one another.Donate to support community-led recovery efforts in Yellowknife, Kelowna, the Okanagan and Shuswap:… See more",1.0,,,Community Foundations of Canada,
"We know everyone is looking for information. We're doing our best to work with our crews who are actively fighting fires across the territory to get updates out. Here's what you can expect from NWT Fire today, in addition to any breaking emergency information:  Updates on the situation in North Slave/Yellowknife twice a day: one earlier in the day, the other at the end of the day. An update this morning/early afternoon on the situation in the South Slave.… See more",104.0,21 comments,21 comments,NWT Fire,
"Here's a few of the sweet faces who will be joining our wildfire safekeeping program tomorrow. They are currently enroute from Yellowknife.We can't wait to cuddle you Pepper, Queso, Delta and Xan. Interested in being a short term foster home? Contact us … See more",173.0,8 comments,8 comments,Parachutes for Pets,
"...Some 20,000 people have been ordered to evacuate their homes in Yellowknife, the capital of Canada's Northwest Territories, and the surrounding areas as the Behchoko/Yellowknife wildfire burns out of control less than 10 miles outside the city. More than 230 active fires are threatening other cities and towns in the region...",2.0,2 comments,2 comments,Sandy Hershelman,
"UPDATE: Yellowknife, N’Dilo, Behchokǫ̀, Dettah, Ingraham Trail Fires (ZF011, ZF012, ZF015, ZF085) – August 11, 1:30pm: These fires remain out-of-control. Here’s the latest – check the link for detailed updates.ZF011• Residents of the Ingraham Trail are not at immediate threat. Numerous cabins near Duncan Lake, Neck Lake, and Island Lake are at risk. No new losses reported.  Structure protection work continues• With visibility improving, airtanker missions are being con… See more",15.0,,,NWT Fire,
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 14, 9pm: Here are the key points. Read the detailed update at www.nwtfire.comBehchoko/Yellowknife Fire (ZF015)Distance from landmarks (closest point)… See more",27.0,5 comments,5 comments,NWT Fire,
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 13, 9:00pm: Key points below. Read the detailed update at www.nwtfire.comZF015 (Behchoko/Yellowknife Fire)- The fire remains approximately 35km northwest of Yellowknife. N'Dilo, Dettah, and Yellowknife are not at risk. - A minor breach in established lines at the east end of the fire, to the south of Highway 3, has led to an Evacuation Order for KM 284-306 (Boundary Creek)… See more",43.0,12 comments,12 comments,NWT Fire,
Canadian officials ordered the evacuation of the Northwest Territories' capital of Yellowknife and several smaller communities on Wednesday as a massive wildfire threatened the town of Hay River overnight.,75.0,1 comment,1 comment,The Watchmen's Earth and Space connection,
"*CORRECTED - 5:15PM - A PRIOR VERSION OF THIS POST ASKED CABIN OWNERS TO THE EAST OF HARDING LAKE TO BE PREPARED TO LEAVE BY TOMORROW. IT WAS INTENDED TO SAY *WEST* OF HARDING LAKE. WE REGRET THE ERROR*UPDATE: Yellowknife, N’Dilo, Behchokǫ̀, Dettah, Ingraham Trail Fires (ZF011, ZF012, ZF015, ZF085) – August 13, 1 :30pm: these fires remain out-of-control. Check the link for a detailed update.IMPORTANT UPDATE – ZF085 (Dettah Fire) : … See more",13.0,4 comments,4 comments,NWT Fire,
"Emergency evacuation ordered in Canada's Northwest Territories: Yellowknife and nearby communities forced to flee due to massive wildfire threat, including Hay River. #WildfireEvacuation #NorthwestTerritories",18.0,2 comments,2 comments,SABC News,
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 14, 11am: Critical points below. Visit nwtfire.com for detailed updates. ZF015 (Behchoko/Yellowknife Fire)Distance from landmarks (closest point)• Yellowknife – 30km northwest at nearest point… See more",25.0,9 comments,9 comments,NWT Fire,
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 15, 830pm: Key points below. Detailed updates at the link: www.nwtfire.comConditionsTomorrow will be an extremely challenging day. West winds sustained 20-25km/h gusting 30-35km/h and continued dry conditions will drive severe fire activity – likely causing meaningful progression to the east of the fire. Chance of 1mm of rain, but not enough to make a dent in the fire.… See more",52.0,31 comments,31 comments,NWT Fire,
"I just spoke to Ellis in Yellowknife a few minutes ago. As of noon hour today, the city will be shut down and 20,000 residents have to leave. There was some rain yesterday; however, wildfire is still approaching the city. There are 55 to 60 patients at the hospital. They hope to fly them out today. The city is officially shut down at noon hour. Everybody must leave by then. Ellis has to stay until all the patients are gone. She has a commercial flight on Sunday. She may fly o… See more",42.0,13 comments,13 comments,Fred Knip,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories Wildfire Update at 4 p.m. today, Monday, September 4, 2023.Watch the update on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",8.0,1 comment,1 comment,City of Yellowknife,
Yellowknife is the capitol city in the NWT.,3.0,6 comments,6 comments,Doris Howard,
The wildfire threatening Ywllowknife has moved to about 16 km from the city. Winds from the west (with gusts up to 35 km/hr) are driving it closer.,,,,Joseph W Howard,
"Friends and Family.  Thanks for all the kind messages over the last few days.  While there continues to be a wildfire threat to Yellowknife, we are all still safe and continuing on with our lives as best we can.  If you're interested in how things are going, you can get updates from NWT Fire here:   https://www.facebook.com/NWTFireinfoAlso, if you're looking for a way to help, you can donate to the United Way here if you're able: https://nwt.unitedway.ca/2023-emergency-resp… See more",51.0,15 comments,15 comments,Jason Doiron,
"Yellowknife, CANADA, is under evac orders from the coming wildfire . The  west of Kelowna has grown 100x in the past 24 hours & they may have to evacuate. Nearly died in a helicopter near Kelowna in a snow storm.  Never forgot that",1.0,,,Chris Steves,
Officials have told residents to be out of the city by noon on Friday.,6.0,,,WCPO 9,
"NWT Highway 3 (between Yellowknife and Behchokǫ̀) is open but may be impacted by a nearby wildfire. Even though Highway 3 is open, do not return to Behchokǫ̀ – it is not safe. Be prepared for poor visibility and delays/sudden road closures. The situation can change quickly with no warning. Check the Highway Conditions Map before you travel: https://www.dot.gov.nt.ca/Highways",2.0,,,Government of the Northwest Territories,
"UPDATE - July 27, 2023, 1:50pm - This post is no longer up to date. There is more recent information available for this topic. For the latest GNWT public safety… See more",,,,Government of the Northwest Territories,
"Thanks to Cabin Radio:Yellowknife, Ndılǫ, Dettah, Ingraham Trail11:30am Tuesday: NWT Fire says today temperatures will reach and could exceed the record temperature for Yellowknife on this day, at 26C. Wind is expected to remain “fairly gusty” today and overnight. The wildfire agency says these conditions will make for more aggressive fire behaviour.… See more",4.0,2 comments,2 comments,Peter Cullen,
This is what Max Brauer is doing in Yellowknife last week.  Great job to all and hood luck!,3.0,1 comment,1 comment,Marcus Brauer,
"N.W.T. says no financial aid for evacuees who organized own travel, accommodationsN.W.T. fire information officer says situation could stretch on for weeksLuke Carroll · CBC News · Posted: Aug 21, 2023 5:00 PM MDT | Last Updated: 4 hours ago… See more",17.0,23 comments,23 comments,Yellowknife current events,
"N.W.T. says no financial aid for evacuees who organized own travel, accommodationsN.W.T. fire information officer says situation could stretch on for weeksL… See more",,,,,
"The dystopian future is now:""Yellowknife residents drove to safety under orange skies, as fires burned all around them. Some evacuees reported that their cars began melting during the ordeal.""",8.0,4 comments,4 comments,Nick Hazen Peterson,
Canadian officials ordered the evacuation of the Northwest Territories' capital of Yellowknife and other communities Wednesday — as a wildfire threatened the town of Hay River overnight. Tap for the full brief.,7.0,,,OAF Nation,
"Yellowknife, which was recently evacuated due to the threat of wildfires, has become overrun with black bears that have moved into the empty streets in search of food.",1.0,,,How It Works magazine,
"Prayer to Yellowknife, people are suffering for the wildfire",8.0,2 comments,2 comments,Jeena Soriano Berdeprado,
"Waiting in line overnight for wildfire evacuation flights in NWT's capital Yellowknife (pop. 20,000). Everyone must be out by noon today. Half were turned away yesterday. There is only one road in/out but refuge is nowhere near. Officials are not risking another Lahaina (111+ dead, 1300+ missing). Meanwhile Kelowna (BC) residents have been put on notice to prepare for immediate evacuation as a wildfire jumped Okanagan Lake into West Kelowna. Southern California is also br… See more",7.0,2 comments,2 comments,Chung Wong,
"Canada NWTerritory, the town of Hay River and Katlodeeche First Nation Reserve (reservation for US) was under a mandatory evacuation last night.  Reports this morning are that the vast majority in of structures have burned to the ground.",7.0,,,InciNotes,
"Never in our wildest dreams, could we have even imagined what 2023 would bring to Outcrop - which was a lot. A lot of firsts, a lot of lingering pandemic catch-up, a lot of heartache, and yet, a lot of fun, renewed hope, laughs and creativity. The most obvious memory from 2023 was this summer when the Northwest Territories made headlines due to the wildfire evacuation. The support we received from each other, clients, suppliers and friends, along with the stories of resilie… See more",2.0,,,Outcrop Communications,
Upvoted post in r/ spyrokidnews: BREAKING NEWS: Evacuating Yellowknife: Residents share their stories of getting out ahead of the wildfire - CBC,,,,Spyrokid,
"Wind direction coming from Great Slave Lake is an additional factor that keeps Yellowknife safe during situations like a wildfire, and Alty says strong winds from the southeast are incredibly important in keeping the wildfire off our doorstep.",1.0,,,100.1 True North FM,
"It keeps getting worse.""A huge wildfire in northern Canada is moving closer the city of Yellowknife, the capital of the Northwest Territories, and authorities have ordered the city’s 20,000 residents to evacuate.""",4.0,,,Evan Thomas,
"Wildfire has prompted the evacuation of approximately 20,000 residents from the territorial capital of Yellowknife in Canada’s Northwest Territories. The evacuations are some of the latest during what has been Canada’s worst wildfire season on record.",5.0,,,AVIATION WEEK,
"*This post is reviewed and will be updated as road conditions change*HIGHWAY UPDATES (Latest Update - August 28, 2023 at 4:30 p.m.)Highway 3 between Yellowk… See more",,,,Government of the Northwest Territories,
"The City of Yellowknife declared a state of local emergency Monday night, citing an imminent wildfire threat.",1.0,1 comment,1 comment,The Edmonton Sun,
Tonight on APTN National News: An out-of-control wildfire continues to threaten the City of Yellowknife.Construction suspended at Vancouver International Airport after airport crews found what are believed to be Musqueam artifacts.,2.0,,,APTN National News,
"An official deadline to evacuate Yellowknife as a wildfire looms on its outskirts has lapsed, as residents scramble to leave by air and road.About 22,000 people - or roughly half the population in Canada's Northwest Territories - are now displaced in the country's worst fire season on record.A separate blaze in the west, that threatens Kelowna, British Columbia, has grown one hundredfold in 24 hours.",5.0,1 comment,1 comment,Magid Von Aleksandr,
"Wildfire smoke can be harmful to everyone’s health even at low concentrations. Continue to take actions to protect your health and reduce exposure to smoke.People with lung disease (such as asthma) or heart disease, older adults, children, pregnant people, and people who work outdoors are at higher risk of experiencing health effects caused by wildfire smoke.",2.0,,,Raymond Pidzamecky,
"Evacuating Yellowknife, a city of 20,000 !",4.0,1 comment,1 comment,Sarah Wilson,
"Officials in the Northwest Territories have ordered residents of Yellowknife to evacuate as wildfires burn just outside the city's borders.""The fire continues to advance and now burns approximately 17 kilometres outside the city,"" Northwest Territories Minister of Environment and Climate Change Shane Thompson told reporters at a news conference Wednesday night. ""Without rain, it is possible it will reach the city outskirts by the weekend.""...",,,,News Tab,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories Wildfire Update at 4 p.m. today, Thursday, September 7, 2023.Watch the update on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",2.0,,,City of Yellowknife,
https://www.youtube.com/watch?v=mG-eoWaOZtE,1.0,,,Yellowknife&US,
"Minister Sajjan issued a statement about the wildfire situation in Yellowknife, #NWT. https://ow.ly/ZBsH50PAEoF",2.0,,,Emergency Ready in Canada,
